stid,timestamp,lat,lon,alt
zackenberg,2021-06-12 18:00:00,74.473299,-20.550869,44
nuuk,2024-01-24 07:00:00,64.133306,-51.34325,40
disko,2024-01-24 07:00:00,69.244167,-53.528861,7
